Year,GMSL,SigmaError
1969.083333,-67.15786159,15.0101155
1969.166667,-70.05929906,14.99632504
1969.25,-70.69264471,14.98256019
1969.333333,-69.55362773,14.96686646
1969.416667,-70.51432442,14.94870413
1969.5,-71.26155233,14.93915562
1969.583333,-71.87364321,14.92424895
1969.666667,-69.64473628,14.90628394
1969.75,-70.04232396,14.89825979
1969.833333,-70.1590918,14.88383367
1969.916667,-68.30306273,14.86970703
1970,-69.33886252,14.84629929
1970.083333,-69.00395138,14.82727845
1970.166667,-67.8079277,14.80987496
1970.25,-72.0056302,14.79675875
1970.333333,-71.18975636,14.7819842
1970.416667,-71.84292533,14.77322797
1970.5,-71.22085238,14.7586558
1970.583333,-71.29853056,14.74057651
1970.666667,-73.17862231,14.7267179
1970.75,-71.77098693,14.71169087
1970.833333,-71.94875824,14.69417652
1970.916667,-73.07023384,14.67996936
1971,-71.75390735,14.66650049
1971.083333,-70.19558601,14.64911485
1971.166667,-73.31985566,14.63385909
1971.25,-70.60838021,14.62201655
1971.333333,-70.59933154,14.60756681
1971.416667,-70.92150116,14.59005839
1971.5,-68.05470046,14.57587293
1971.583333,-69.93110843,14.5612087
1971.666667,-70.83722459,14.54683843
1971.75,-70.66471059,14.53181076
1971.833333,-71.27452483,14.51654947
1971.916667,-70.74350449,14.50151118
1972,-70.22550258,14.48740103
1972.083333,-71.14126009,14.47819009
1972.166667,-69.62183713,14.46383795
1972.25,-70.14479424,14.44163803
1972.333333,-68.82104969,14.4268298
1972.416667,-67.49353542,14.41246781
1972.5,-68.10530822,14.39536286
1972.583333,-68.18959108,14.38098602
1972.666667,-68.89441069,14.36936406
1972.75,-68.03461908,14.35288245
1972.833333,-66.62907768,14.33952397
1972.916667,-68.22815896,14.32757229
1973,-69.73134177,14.30745226
1973.083333,-66.42971187,14.2925731
1973.166667,-68.34307736,14.27588917
1973.25,-66.02249499,14.25987008
1973.333333,-69.19917463,14.24774348
1973.416667,-70.12890997,14.23294192
1973.5,-69.72752977,14.21937478
1973.583333,-69.3750969,14.20588354
1973.666667,-69.95005799,14.19087438
1973.75,-68.18783553,14.17837338
1973.833333,-68.83063095,14.16474226
1973.916667,-67.37921017,14.14914468
1974,-69.23191366,14.13494425
1974.083333,-67.74314211,14.11507752
1974.166667,-71.45202514,14.09800382
1974.25,-67.47583443,14.0894133
1974.333333,-67.22070721,14.07167511
1974.416667,-66.79405568,14.05825432
1974.5,-69.67768032,14.04088962
1974.583333,-69.0496802,14.02198027
1974.666667,-69.69366199,14.00515057
1974.75,-65.87845503,13.99061938
1974.833333,-66.58642145,13.97777216
1974.916667,-68.74331934,13.97724789
1975,-68.20275404,13.96068458
1975.083333,-67.08848382,13.94203206
1975.166667,-67.79071978,13.92492803
1975.25,-67.41932752,13.90231213
